,daily_dishwasher,daily_drum_washer,daily_shower,daily_toilet_flush,daily_top_washer,daily_vacuum,heavy_adult_footstep,heavy_child_footstep,heavy_hammering,instrument_piano,instrument_violin,light_door,light_furniture_drag,light_golf_putting,light_treadmill,pet_cat_cry,pet_dog_bark
daily_dishwasher,9,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0
daily_drum_washer,1,6,0,1,1,1,0,0,0,0,0,0,1,0,1,0,0
daily_shower,0,0,11,0,0,1,0,0,0,0,0,0,0,0,0,0,0
daily_toilet_flush,0,0,0,6,0,3,0,0,0,0,0,0,1,0,0,1,1
daily_top_washer,1,2,1,0,3,0,0,0,0,0,0,2,1,0,2,0,0
daily_vacuum,1,0,1,1,0,9,0,0,0,0,0,0,0,0,0,0,0
heavy_adult_footstep,0,0,0,1,0,0,6,2,0,0,0,0,0,3,0,0,0
heavy_child_footstep,0,0,0,1,0,0,4,6,0,0,0,0,0,1,0,0,0
heavy_hammering,0,0,0,0,0,0,0,0,6,0,0,1,3,1,0,1,0
instrument_piano,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0
instrument_violin,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0
light_door,0,0,0,0,0,0,0,0,0,0,0,8,0,2,1,1,0
light_furniture_drag,1,0,0,0,0,0,0,0,0,1,0,3,7,0,0,0,0
light_golf_putting,0,0,0,0,0,0,1,0,0,0,0,2,0,9,0,0,0
light_treadmill,0,0,0,0,2,0,0,0,0,0,0,0,0,0,10,0,0
pet_cat_cry,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,10,0
pet_dog_bark,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,11
